namespace,name,func,author,scope,usage,description,parameters
conditions - queries you may call from campaign script,IsTheatreGovernor,008A1D40,Luke,,IsTheatreGovernor(),Returns whether the character is a governor,none
conditions - queries you may call from campaign script,IsTriggerableHistoricalEvent,008A1DC0,Paul,,"IsTriggerableHistoricalEvent(""3_colour_printing"")",,Historical event record key
conditions - queries you may call from campaign script,IsUnderBlockade,008A1F60,Ed,,IsUnderBlockade(),Is the character under blockade?,none
conditions - queries you may call from campaign script,IsUnderSiege,008A1FF0,Ed,,IsUnderSiege(),Is the character under siege?,none
conditions - queries you may call from campaign script,LandTradeRouteRaided,008A20A0,Luke,,LandTradeRouteRaided(),Was one of this factions land trade routes has been raided i9n the last round?,none
conditions - queries you may call from campaign script,LosingMoney,008A2100,Paul,,LosingMoney(),Returns whether or not the factions regular expenditure exceeds their regular income,none
conditions - queries you may call from campaign script,MapPosition,009BE540,Ting,,"MapPosition(x, y)",check to see if a map location matches the one return by the context,Location on the map
conditions - queries you may call from campaign script,MissionName,009BE760,Alan,,MissionName(Build_farm_ep1),Compare the custom identifier of the mission to the parameter,mission name
conditions - queries you may call from campaign script,NoActionThisTurn,008A2190,Luke,,NoActionThisTurn(),Has an action occured this turn for this character?,none
conditions - queries you may call from campaign script,OffensiveSiegesFought,008A21F0,Ed,,OffensiveSiegesFought(),Returns the number of siege offences a general has attempted,none
conditions - queries you may call from campaign script,OffensiveSiegesWon,008A2260,Ed,,OffensiveSiegesWon(),Returns the number of siege offences a general has won,none
conditions - queries you may call from campaign script,OnAWarFooting,008A22D0,Paul,,OnAWarFooting(),Returns whether or not the characters faction is at war with anyone,none
conditions - queries you may call from campaign script,ParentId,00DA98E0,tom,,"ParentId(""tax_slider"")",Returns true if the name of the Components parent matches the id specified,Component id
conditions - queries you may call from campaign script,PercentageUnspentIncome,008A2380,Luke,,PercentageUnspentIncome(),What percentage of the characters factions income remains unspent?,None
conditions - queries you may call from campaign script,PlayerFactionIsAttacker,008A24A0,Luke,,PlayerFactionIsAttacker(),Is the attackers faction the local faction?,none
conditions - queries you may call from campaign script,PortBlockaded,008A2610,Luke,,PortBlockaded(),"Is the port blockaded, and did it start in the last round?",none
conditions - queries you may call from campaign script,PortBlockadedLocal,008A2530,Luke,,PortBlockadedLocal(),"Is the port blockaded by the local faction, and did it start in the last round?",none
conditions - queries you may call from campaign script,RandomPercentCampaign,008A26B0,Ed,,RandomPercentCampaign(50),Returns whether the parameter value is less than the random number,Number between 0 and 100 to test against
conditions - queries you may call from campaign script,RegionBuildableSlotEmpty,008A27A0,Ed,,RegionBuildableSlotEmpty(),Has the slot not been developed?,none
conditions - queries you may call from campaign script,RegionBuildingFinished,008A28C0,Ed,,RegionBuildingFinished(),Gets the key of the last building constructed in the region,none
conditions - queries you may call from campaign script,RegionClamoursReform,008A2960,Ed,,RegionClamoursReform(),Is the population in this region clamouring for reform,none
conditions - queries you may call from campaign script,RegionCultureIsFactionCulture,008A29D0,Ed,,RegionCultureIsFactionCulture(),Is the region's originating culture the same as the owning factions culture,none
conditions - queries you may call from campaign script,RegionDemands,008A2A70,Ed,,RegionDemands(),Is the population in this region writing letters of demand,none
conditions - queries you may call from campaign script,RegionEconomicGrowthLow,008A2AE0,Luke,,RegionEconomicGrowthLow(),Is this regions economic growth low?,none
conditions - queries you may call from campaign script,RegionFoodShortageEmigration,008A2B50,Luke,,RegionFoodShortageEmigration(),Are people in this region emigrating due to a shortage of food?,none
conditions - queries you may call from campaign script,RegionGovernorAttribute,008A2BE0,Luke,,"RegionGovernorAttribute(""management"")",Gets the level of the regions governers attribute specified as a parameter,The attribute which you wish to check on the regions governor
conditions - queries you may call from campaign script,RegionHasFoodShortages,008A2CB0,Ed,,RegionHasFoodShortages(),Does the region have food shortages,none
conditions - queries you may call from campaign script,RegionHasUnexportedTrade,008A2D20,Paul,,RegionHasUnexportedTrade(),Is the region producing more than it is exporting?,none
conditions - queries you may call from campaign script,RegionIsLocal,008A2D90,Ed,,RegionIsLocal(),Does the region belong to the player faction?,none
conditions - queries you may call from campaign script,RegionIsRebelling,008A2E10,Ed,,"RegionIsRebelling(""ita_alpes_maritimes"")",Is the specified region rebelling. Requires faction context.,Key of the region to query
conditions - queries you may call from campaign script,RegionPopulationGrowthLow,008A2ED0,Luke,,RegionPopulationGrowthLow(),Is this regions population growth low?,none
conditions - queries you may call from campaign script,RegionPopulationLow,008A2F70,Ed,,RegionPopulationLow(),Tests if the population of a region is has dropped below the previous town spawn threshold e.g. region has 5 towns but has dropped below the population requirement for 4 towns,none
conditions - queries you may call from campaign script,RegionPopulationMaxReached,008A3020,Ed,,RegionPopulationMaxReached(),Tests if the population of a region the maximum population,none
conditions - queries you may call from campaign script,RegionRebels,008A30A0,Ed,,RegionRebels(),Is the region rebelling,none
conditions - queries you may call from campaign script,RegionReligionIsStateReligion,008A3110,Ed,,RegionReligionIsStateReligion(),Is the region's religion the same as the owning factions religion,none
conditions - queries you may call from campaign script,RegionReligiousEmigration,008A31A0,Luke,,RegionReligiousEmigration(),Are people in this region emigrating due to religious intolerance?,none
conditions - queries you may call from campaign script,RegionResourceExists,008A3230,Paul,,"RegionResourceExists(""res_gold"")",Returns whether the resource exists in the region,Valid entry from 'key' field from resources table in Empire.mdb
conditions - queries you may call from campaign script,RegionResourceExploited,008A3370,Paul,,"RegionResourceExploited(""res_gold"")",Returns whether the resource is produced in the region,Valid entry from 'key' field from resources table in Empire.mdb
conditions - queries you may call from campaign script,RegionRiots,008A34C0,Ed,,RegionRiots(),Is the population in this region rioting,none
conditions - queries you may call from campaign script,RegionSlotBuildingCount,008A3530,Ed,,RegionSlotBuildingCount(),Counts the number of buildings in the region slots in the region,none
conditions - queries you may call from campaign script,RegionSlotBuildingCultureExists,008A35F0,Ed,,"RegionSlotBuildingCultureExists(""european"")",Tests if the region has a building from the given culture,The key of the culture from the cultures table
conditions - queries you may call from campaign script,RegionSlotBuildingTypeCount,008A3730,Ed,,"RegionSlotBuildingTypeCount(""barracks"")",Counts the number of buildings in the region slots in the region of the specified type,The key of the building level you are querying from the building_levels table
conditions - queries you may call from campaign script,RegionSlotBuildingTypeExists,008A3880,Ed,,"RegionSlotBuildingTypeExists(""barracks"")",Tests if a building of the specified type exists in the region,The key of the building level you are querying from the building_levels table
conditions - queries you may call from campaign script,RegionSlotCount,008A3A00,Ed,,RegionSlotCount(),Counts the number of slots in a region including settlement slots,none
conditions - queries you may call from campaign script,RegionSlotEmptyCount,008A3AC0,Ed,,RegionSlotEmptyCount(),Counts the number of empty (no building) slots in a region including settlement slots,none
conditions - queries you may call from campaign script,RegionSlotTypeExists,008A3BD0,Ed,,"RegionSlotTypeExists(""fish"")",Tests to see if the region has a slot (in any status) whose type matches the parameter,The key of the slot type you wish to find from the slots table
conditions - queries you may call from campaign script,RegionTaxExempt,008A3CC0,Luke,,RegionTaxExempt(),Gets whether the region is tax exempt or not,n/a
conditions - queries you may call from campaign script,RegionTaxLevel,008A3D20,Paul,,"RegionTaxLevel(""lower_classes"")",Returns whether the regions tax level,"""lower_classes"" or ""upper_classes"""
conditions - queries you may call from campaign script,RegionTaxTownWealthGrowthReduction,008A3E10,Paul,,RegionTaxTownWealthGrowthReduction() > 1,Returns the percentage of the regions town wealth growth lost due to taxes,none
conditions - queries you may call from campaign script,RegionTownWealthGrowth,008A3E90,Paul,,RegionTownWealthGrowth() > 50,Returns the town wealth growth of the region,none
conditions - queries you may call from campaign script,RegionWealthDecrease,008A3F00,Luke,,RegionWealthDecrease(),How much has the regions wealth decreased?,none
conditions - queries you may call from campaign script,RegionWealthIncrease,008A3F80,Luke,,RegionWealthIncrease(),How much has the regions wealth increased?,none
conditions - queries you may call from campaign script,ResearchCategory,008A4000,Luke,,"ResearchCategory(""enlightenment"")",Is the research just completed of this category?,Category
conditions - queries you may call from campaign script,ResearchQueueIdle,008A40B0,Ed,,ResearchQueueIdle(),Is faction not researching any tech evn though they could be,none
conditions - queries you may call from campaign script,ResearchType,008A4200,Luke,,"ResearchType(""military_navy_flintlock_cannon"")",Is the technology just researched of this type?,Research type
conditions - queries you may call from campaign script,ResearchTypeUniqueToFaction,008A4120,Luke,,ResearchTypeUniqueToFaction(),Are we the first faction to research this technology type?,Research type
conditions - queries you may call from campaign script,RoadsAtMaxLevel,008A42A0,Paul,,RoadsAtMaxLevel(),Are the regions roads at the maximum level (and thus impossible to upgrade)?,none
conditions - queries you may call from campaign script,SeaTradeRouteRaided,008A4340,Luke,,SeaTradeRouteRaided(),Was one of this factions sea trade routes has been raided i9n the last round?,none
conditions - queries you may call from campaign script,SettlementBuildingQueueIdleDespiteCash,008A43A0,Ed,,SettlementBuildingQueueIdleDespiteCash(),Is the settlement's building queue empty even though the faction can afford to build the cheapest building in any of its slot?,none
conditions - queries you may call from campaign script,SettlementFortificationsBuildingQueueIdleDespiteCash,008A4490,Ed,,SettlementFortificationsBuildingQueueIdleDespiteCash(),Is the settlements's fortification building queue empty even though the faction can afford to build the cheapest building?,none
conditions - queries you may call from campaign script,SettlementIsLocal,008A4520,Ed,,SettlementIsLocal(),Does the settlement belong to the player faction?,none
conditions - queries you may call from campaign script,SettlementName,008A45A0,Ed,,"SettlementName(""settlement:acadia:fort_nashwaak"")",Is the settlement's unique id equal to the parameter?,"The unique id of the settlement from the campaign_map_settlements table or a character, in which case it looks at the settlement the character is in"
conditions - queries you may call from campaign script,SettlementOwnedBy,008A4680,Ed,,"SettlementOwnedBy(""france"")",Does the specified faction own the settlement in context,"The unique id of the settlement from the campaign_map_settlements table or a character, in which case it looks at the settlement the character is in. Use ""rebels"" to test for rebel ownership"
