namespace,name,func,author,scope,usage,description,parameters
campaign UI commands (the CampaignUI global),EnableVoiceChat,009E2590,,,,In: true/false to start/stop voice chat,""
campaign UI commands (the CampaignUI global),EndTurn,009E25F0,,,,No documentation,""
campaign UI commands (the CampaignUI global),EnqueueSiegeEquipment,009E2600,,,,Places a siege equipment item in the queue,""
campaign UI commands (the CampaignUI global),EnterRevolutionaryRegion,009E2650,,,,In: ,""
campaign UI commands (the CampaignUI global),EntityTypeSelected,009E27D0,,,,Returns a table with a valid boolean entry for the type of entity selected,""
campaign UI commands (the CampaignUI global),EnumerateCampaignSaves,0046D970,,,,"In: Save game directory, file extension, Out: Table of details about each save game found in the directory",""
campaign UI commands (the CampaignUI global),EnumerateMultiplayerCampaignSaves,009E2BD0,,,,"In: Save game directory, file extension, Out: Table of details about each save game found in the directory",""
campaign UI commands (the CampaignUI global),ExitPreBattleContinuingSiege,009E2C10,,,,The player chose to continue sieging,""
campaign UI commands (the CampaignUI global),FactionDetails,009E2CB0,,,,"Retrieve some details about the given faction (name, flag path, leader etc) - pass in faction db id",""
campaign UI commands (the CampaignUI global),FactionsUniversities,009E2F60,,,,A list of a factions universities or educational facilities,""
campaign UI commands (the CampaignUI global),FileExtenstionAndPathForWriteClass,009E3130,,,,"In: string identifying OSFS_WRITECLASS.  Out: File extension used by that class, directory files are kept in",""
campaign UI commands (the CampaignUI global),Finalise,009E3270,,,,,""
campaign UI commands (the CampaignUI global),FinaliseDuel,009E33C0,,,,Finishes a duel.  Weapon type should have been selected,""
campaign UI commands (the CampaignUI global),FinaliseExchange,009E3480,,,,Gathers the list of units/agents/etc that are to be exchanged,""
campaign UI commands (the CampaignUI global),FinaliseMoveTransition,009E43A0,,,,"In: Character to move, Units to move, Position moving from, Index of transition area to move to.",""
campaign UI commands (the CampaignUI global),FinalisePendingAction,009E4820,,,,Called from various places to complete the pending action,""
campaign UI commands (the CampaignUI global),FinalisePendingDuel,009E4890,,,,"Finalise a duel, more specific version of the above command",""
campaign UI commands (the CampaignUI global),FormatString,009E4900,,,,"In: Formating string, string to format into it. Out: Formatted version",""
campaign UI commands (the CampaignUI global),FortDetails,009E49D0,,,,initialises a table of details about the fort specified,""
campaign UI commands (the CampaignUI global),FortEffects,009E4AA0,,,,Fills in a table with a table list for each effects class,""
campaign UI commands (the CampaignUI global),GentlemanStealing,009E4B90,,,,Fills in a technology record table,""
campaign UI commands (the CampaignUI global),GetCurrentGameInfo,009E4BB0,,,,Out: Details about the current state of the game for the save game dialog,""
campaign UI commands (the CampaignUI global),GetCurrentMPGameInfo,009E4C50,,,,Out: Details about the current state of the game for the save game dialog,""
campaign UI commands (the CampaignUI global),GetDropinFriendPref,009E4D10,,,,Out: Returns true/false depending on whether the player only wants friends in their dropin battles,""
campaign UI commands (the CampaignUI global),GetExtendedMPSaveGameInfo,004704D0,,,,"In: Path to save game, Out: Table of extra details about that save game",""
campaign UI commands (the CampaignUI global),GetExtendedSaveGameInfo,004705E0,,,,"In: Path to save game, Out: Table of extra details about that save game",""
campaign UI commands (the CampaignUI global),GovernorshipList,009E4D50,,,,Returns a table of entries containing details of all governorships for a given faction,""
campaign UI commands (the CampaignUI global),HighlightConstructionItem,009E5000,,,,,""
campaign UI commands (the CampaignUI global),HighlightRecruitmentItem,009E5080,,,,,""
campaign UI commands (the CampaignUI global),HoldElections,009E5100,,,,Hold elections immeadiately,""
campaign UI commands (the CampaignUI global),HomeTheatre,009E5180,,,,Return the db key of the theatre containing the home region of the faction specified,""
campaign UI commands (the CampaignUI global),InformAdviceReachedRender,009E5240,,,,repeat the curently played advice,""
campaign UI commands (the CampaignUI global),InformLootingSelection,009E5280,,,,Informs the UI of the looting selection,""
campaign UI commands (the CampaignUI global),InitialiseCharacterDetails,009E5300,,,,initialises a table of details about the character specified,""
campaign UI commands (the CampaignUI global),InitialiseGovernmentDetails,009E54D0,,,,Creates a table containing information about the government,""
campaign UI commands (the CampaignUI global),InitialiseRecruitableUnitDetails,009E6010,,,,,""
campaign UI commands (the CampaignUI global),InitialiseRegionInfoDetails,009E69B0,,,,"Returns a table of information about a given region (supplied by address).  If no address is supplied, then the current selected region is used",""
campaign UI commands (the CampaignUI global),InitialiseTechDetails,009EAF30,,,,initialises a table of details about the tech specified,""
campaign UI commands (the CampaignUI global),InitialiseUnitDetails,009EB470,,,,"Parameter passed can be either a UNIT*, a CAMPAIGN_CARD string id or a UNIT_RECORD string id",""
campaign UI commands (the CampaignUI global),InstigateAssassination,009EC1E0,,,,"In: Attacker, target (character pointers). Issues an assassination order",""
campaign UI commands (the CampaignUI global),InstigateDuel,009EC290,,,,"In: Attacker, target (character pointers). Issues a duel order",""
campaign UI commands (the CampaignUI global),InstigateSabotage,009EC340,,,,"In: Attacker, target building.  Issues the sabotage order",""
campaign UI commands (the CampaignUI global),InviteAlliesIntoWar,009EC420,,,,Called after the player acknowledged that another faction has declared war on them,""
campaign UI commands (the CampaignUI global),IsAudioPlaying,009EC4B0,,,,repeat the curently played advice,""
campaign UI commands (the CampaignUI global),IsCharacterInPortResidence,009EC500,,,,,""
campaign UI commands (the CampaignUI global),IsCharacterPlayerControlled,009EC590,,,,,""
campaign UI commands (the CampaignUI global),IsConstructionItemHighlighted,009EC5F0,,,,,""
campaign UI commands (the CampaignUI global),IsMergingUnit,009EC670,,,,,""
campaign UI commands (the CampaignUI global),IsMultiplayer,009EC6C0,,,,Out: true/false - Are we playing a multiplayer campaign,""
campaign UI commands (the CampaignUI global),IsMultiplayerOttomansFrenchDiplomacy,009EC6F0,,,,Returns true if the factions attempting to enter into diplomacy are the Ottomans and France in a multiplayer game,""
campaign UI commands (the CampaignUI global),IsPlayersTurn,009EC8D0,,,,Returns a boolean to say whether or not it is currently the human players turn,""
campaign UI commands (the CampaignUI global),IsRecruitmentItemHighlighted,009EC920,,,,,""
campaign UI commands (the CampaignUI global),IsTimedMultiplayer,009EC9A0,,,,,""
campaign UI commands (the CampaignUI global),IsTimedMultiplayerGame,009EC9A0,,,,,""
campaign UI commands (the CampaignUI global),IsUnitMergePossible,009EC9D0,,,,Out: Bool.  Are unit merges allowed at the moment,""
campaign UI commands (the CampaignUI global),KickMinister,009ECA10,,,,In: Address of character that we want to kick,""
campaign UI commands (the CampaignUI global),ListOfPlayersInGame,009ECAA0,,,,Out: A table of the players,""
campaign UI commands (the CampaignUI global),LoadCampaign,009ECDA0,,,,In: Full path to save game file,""
campaign UI commands (the CampaignUI global),LocalisationString,009ECEA0,,,,Retrieve a string from the random localisation strings table,""
campaign UI commands (the CampaignUI global),MPChangeIngameOptions,009ED010,,,,Current game options will be read from table provided and sent to the network,""
campaign UI commands (the CampaignUI global),MPInviteToGame,009ED230,,,,In: Array of Steam Player Id's.,""
campaign UI commands (the CampaignUI global),MPOnlinePresence,009ED2D0,,,,Out: Return a pointer to the online prescence,""
campaign UI commands (the CampaignUI global),MPSaveGame,009ED310,,,,"In: bool.  Overwrite if file exists.  String: ""filename"". Saves a multiplayer campaign game.  The filename field is actually encoded in the header and wont be the name the file is saved as",""
campaign UI commands (the CampaignUI global),MergeUnits,009ED450,,,,Merges all of the units in this table. This method is used when the merge is caused by the merge key being pressed.,""
campaign UI commands (the CampaignUI global),MergeUnitsWithFirst,009ED660,,,,Merges all of the units in this table into the first. This Method is used for the dropping of cards onto another.,""
campaign UI commands (the CampaignUI global),MinisterPortraitPath,009ED8A0,,,,"In: Faction key, Out: Path to a ""random"" ministers portrait",""
campaign UI commands (the CampaignUI global),MissionsDetails,009EDA20,,,,,""
campaign UI commands (the CampaignUI global),MonarchyInfo,009EDA40,,,,,""
campaign UI commands (the CampaignUI global),MoveIntoTarget,009EE150,,,,"In: Character (agent), character or settlement (target), bool (research - steal if enemy settlement)",""
campaign UI commands (the CampaignUI global),MovieDismissed,009EE380,,,,Movie dismissed by Player,""
campaign UI commands (the CampaignUI global),MultiplayerBaseInterface,009EE390,,,,Out: Pointer to the multiplayer control module (to be passed to UIMPInterface object,""
campaign UI commands (the CampaignUI global),MultiplayerBattleSelectionComplete,009EE3D0,,,,Winks to the other player that this player has made his battle selection,""
campaign UI commands (the CampaignUI global),MultiplayerDropInInterface,009E2510,,,,Out: Pointer to the dropin interface,""
campaign UI commands (the CampaignUI global),MultiplayerOtherPlayersName,009EE410,,,,The name of the non local player,""
campaign UI commands (the CampaignUI global),MultiplayerPlayerOutOfTurn,009EE4E0,,,,Returns true if this machine is a human player whos turn is it not,""
campaign UI commands (the CampaignUI global),MultiplayerPlayersName,009EE550,,,,The name of this player,""
campaign UI commands (the CampaignUI global),MultiplayerPostBattleDismissed,009EE5F0,,,,Winks to the other player that this player has made his battle selection,""
campaign UI commands (the CampaignUI global),MultiplayerSaveConfirm,009EE610,,,,Winks to the other player to drop the save message,""
campaign UI commands (the CampaignUI global),MultiplayerTimeIsUp,009EE630,,,,,""
campaign UI commands (the CampaignUI global),MultiplayerTurnTimer,009EE640,,,,,""
campaign UI commands (the CampaignUI global),MultiplayerTurnTimespan,009EE750,,,,,""
campaign UI commands (the CampaignUI global),MultiplayerUnlimitedTurnBeginConfirm,009EE7C0,,,,,""
campaign UI commands (the CampaignUI global),NavalUnitLimit,009EE7D0,,,,Out: Returns the maximum number of units allowed in a navy,""
campaign UI commands (the CampaignUI global),NextAdvice,009EE800,,,,display the next piece of advice,""
campaign UI commands (the CampaignUI global),NextAutoEntitySelection,009EE820,,,,Moves the auto viewer to the next entity,""
campaign UI commands (the CampaignUI global),NextAutoSettlementSelection,009EE830,,,,Moves the auto viewer to the next settlement,""
campaign UI commands (the CampaignUI global),NextExportTradeProblem,009EE8B0,,,,Moves the camera to the next position on a trade route causing reduced trade income,""
campaign UI commands (the CampaignUI global),NextSupplyTradeProblem,009EE900,,,,Moves the camera to the next position on a trade route causing reduced trade income,""
campaign UI commands (the CampaignUI global),OptimizeShip,009EE950,,,,Optimizes the ships crew,""
campaign UI commands (the CampaignUI global),PauseCampaign,009EE9C0,,,,"In: Boolean, pause/unpause",""
campaign UI commands (the CampaignUI global),PlayDropInBattle,009EEA50,,,,"In: is_land, is_siege, Out: Starts up hosting a drop in battle",""
campaign UI commands (the CampaignUI global),PlayerChoosesRevolutionSide,009EEAA0,,,,,""
campaign UI commands (the CampaignUI global),PlayerFactionId,009EEB50,,,,Retrieve the db key of the players faction (can be passed to GetFactionDetails etc,""
campaign UI commands (the CampaignUI global),PlayerFactionIsTribal,009EEBB0,,,,,""
campaign UI commands (the CampaignUI global),PlayerHasFunds,009EEC10,,,,Checks the player has enough funds,""
campaign UI commands (the CampaignUI global),PlayerIgnoresBankruptcy,009EEC70,,,,,""
campaign UI commands (the CampaignUI global),PlayerInControl,009EECA0,,,,In: nothing. Out: bool if player is in control.,""
campaign UI commands (the CampaignUI global),PlayerOwnedUnit,009EECE0,,,,,""
campaign UI commands (the CampaignUI global),PlayerPlayingAsRevolutionaries,009EED40,,,,Out:  True if the player sided with the revolutionaries after a revolution,""
campaign UI commands (the CampaignUI global),PlayerSelected,009EEDA0,,,,"In: none, Out: true if player action caused the last object selected event",""
campaign UI commands (the CampaignUI global),PlayerSidesWithRevolutionaries,009E2070,,,,,""
campaign UI commands (the CampaignUI global),PlayerSurrenderDecision,009EEDD0,,,,,""
campaign UI commands (the CampaignUI global),PlayerUnitTypeCount,009EEEB0,,,,,""
campaign UI commands (the CampaignUI global),PlayersCulture,009EEF10,,,,Out: string (players culture database key,""
campaign UI commands (the CampaignUI global),PlayersFaction,009EEF70,,,,Passes the players facition ptr to lua,""
campaign UI commands (the CampaignUI global),PlayersFactionKey,009EEFB0,,,,Passes the players facition key to lua,""
campaign UI commands (the CampaignUI global),PostNavalBattleRefresh,009DD460,,,,,""
campaign UI commands (the CampaignUI global),PostNavalBattleSetupValid,009EF010,,,,Is the setup valid in its current state,""
campaign UI commands (the CampaignUI global),PreBattleAttack,009EF060,,,,Start the battle immediately,""
campaign UI commands (the CampaignUI global),PreBattleAutoResolve,009EF070,,,,Auto resolve the battle,""
campaign UI commands (the CampaignUI global),PreBattleDemandSurrender,009EF080,,,,Demand the besieged surrender,""
campaign UI commands (the CampaignUI global),PreBattleNightAttack,009EF130,,,,Fight the battle during night-time,""
campaign UI commands (the CampaignUI global),PreBattleRetreat,009EF140,,,,Retreat from the attack,""
campaign UI commands (the CampaignUI global),PreBattleSiegeAttack,009EF1F0,,,,,""
campaign UI commands (the CampaignUI global),PreBattleSiegeAutoResolve,009EF250,,,,,""
campaign UI commands (the CampaignUI global),PreBattleSiegeNightAttack,009EF250,,,,,""
campaign UI commands (the CampaignUI global),PrestigeDetails,009EF290,,,,Fills in a prestige details table,""
campaign UI commands (the CampaignUI global),PreviousAdvice,009EF2B0,,,,display the previous piece of advice,""
campaign UI commands (the CampaignUI global),PreviousAutoEntitySelection,009EF2D0,,,,Moves the auto viewer to the previous entity,""
campaign UI commands (the CampaignUI global),PreviousAutoSettlementSelection,009EF2E0,,,,Moves the auto viewer to the previous settlement,""
campaign UI commands (the CampaignUI global),PromoteUnits,009EF360,,,,,""
campaign UI commands (the CampaignUI global),QuickLoad,009EF420,,,,Loads the most recently saved campaign game,""
campaign UI commands (the CampaignUI global),QuickSave,009EF470,,,,Campaign will be saved to the default quick save location,""
campaign UI commands (the CampaignUI global),QuitToMainScreen,009EF630,,,,No documentation,""
campaign UI commands (the CampaignUI global),QuitToWindowsFromEscapeMenu,009EF640,,,,No documentation,""
campaign UI commands (the CampaignUI global),RadarZoomIn,009EF650,,,,Sets the radar zoom level if possible,""
campaign UI commands (the CampaignUI global),RadarZoomOut,009EF6C0,,,,Sets the radar zoom level if possible,""
campaign UI commands (the CampaignUI global),RecruitUnit,009EF730,,,,Places a recruitable unit in the recruitment queue,""
campaign UI commands (the CampaignUI global),RegimentName,009EF7A0,,,,,""
campaign UI commands (the CampaignUI global),RegionFromSelection,009EF800,,,,,""
campaign UI commands (the CampaignUI global),RegionKeyFromAddress,009EF9C0,,,,,""
campaign UI commands (the CampaignUI global),RegionKeyFromSlot,009EFA40,,,,,""
campaign UI commands (the CampaignUI global),RegionTaxDetails,009EFAC0,,,,"In: Region pointer, Out: Table of details about wealth and taxes for this region",""
campaign UI commands (the CampaignUI global),RegionsGovernorship,009EFBC0,,,,Takes the address of a region and returns the name of the governorship that the region is in,""
campaign UI commands (the CampaignUI global),RegionsInTheatre,009EFC30,,,,Initialise a table with details about each region in the specified theatre,""
campaign UI commands (the CampaignUI global),RegionsOwnedByFactionOrByProtectorates,009F0DA0,,,,Initialise a table listing all regions owned by a faction by address and localised name,""
campaign UI commands (the CampaignUI global),RegionsPublicOrders,009F11D0,,,,Returns the public order in the region,""
campaign UI commands (the CampaignUI global),RemainingTimeToDrop,009F12B0,,,,,""
campaign UI commands (the CampaignUI global),RepairBuilding,009F1300,,,,Repairs the selected building,""
campaign UI commands (the CampaignUI global),RepairFort,009F1370,,,,,""
campaign UI commands (the CampaignUI global),RepeatAdvice,009F13B0,,,,Repeat the current advice on the c++ side,""
campaign UI commands (the CampaignUI global),RequestAssassinationTargets,009F13D0,,,,"In: Character performing the action, Character or Garrison residence pointer.  Out.  Table of suitable characters.  Ask the game for suitable sabotage targets and show the sabotage target picker",""
campaign UI commands (the CampaignUI global),RequestDuelTargets,009F18D0,,,,"In: Character performing the action, Character or Garrison residence pointer.  Out.  Table of suitable characters.  Ask the game for suitable sabotage targets and show the sabotage target picker",""
campaign UI commands (the CampaignUI global),RequestSabotageTargets,009F1D00,,,,"In: Character performing the action, Garrison residence pointer.  Out.  Table of suitable buildings.  Ask the game for suitable sabotage targets and show the sabotage target picker",""
campaign UI commands (the CampaignUI global),RetrieveContainedEntitiesFromCharacter,009F20A0,,,,Retrieve various lists of exchangeable entities from the character,""
campaign UI commands (the CampaignUI global),RetrieveContainedEntitiesFromGarrison,009F2380,,,,Retrieve various lists of exchangeable entities from the garrison,""
campaign UI commands (the CampaignUI global),RetrieveDiplomacyDetails,009F2750,,,,"Return a table containing allies, enemies and trade partners of the given faction",""
campaign UI commands (the CampaignUI global),RetrieveDiplomaticOpinions,009F2830,,,,Return 2 strings representing each factions opinion of each other,""
campaign UI commands (the CampaignUI global),RetrieveDiplomaticStanceString,009F29D0,,,,Takes the db keys for two factions and returns a string representing the diplomatic stance of them (i.e. at war etc),""
campaign UI commands (the CampaignUI global),RetrieveExistingTreaties,009F2B80,,,,Returns any treaties in place between the 2 factions,""
campaign UI commands (the CampaignUI global),RetrieveFactionAgentsList,009F2CE0,,,,"In: Faction key, Out: List of details of all agents in the faction specified",""
campaign UI commands (the CampaignUI global),RetrieveFactionListForDiplomacy,009F2EA0,,,,Builds a table with a few details about each faction in the game,""
campaign UI commands (the CampaignUI global),RetrieveFactionMilitaryForceLists,009F3CF0,,,,"In: Faction, bool ( true = armies/ false = navies, Out: Retrieves the details of all the military forces of the types specified for the given faction",""
campaign UI commands (the CampaignUI global),RetrieveFactionRegionList,009F3FD0,,,,"In: Faction key, Out: Table of all regions owned by faction",""
campaign UI commands (the CampaignUI global),RetrieveGameCore,009F4190,,,,Out: Returns pointers to the game core so that a UIPrefsInterface object can be initialised,""
campaign UI commands (the CampaignUI global),RetrieveGovernorshipDetails,009F41D0,,,,Get the details for a given governorship.  Need to pass in the name of the governorship,""
campaign UI commands (the CampaignUI global),RetrieveRemainingMilitaryAccessTurns,009F4380,,,,Returns the remaining value of the military access,""
campaign UI commands (the CampaignUI global),RetrieveVisibleEnitityDetails,009F4520,,,,"Returns the details of all the campaign map entities (settlements, characters etc), that are currently visible in the camera view",""
campaign UI commands (the CampaignUI global),ReturnToCampaignFromEscapeMenu,00461180,,,,No documentation,""
campaign UI commands (the CampaignUI global),RevertShipsToPrize,009F47B0,,,,Moves ships back to the prize pool,""
campaign UI commands (the CampaignUI global),ReviewPanelInfo,009F4890,,,,,""
campaign UI commands (the CampaignUI global),ReviewPanelTabSelectionSet_1_Indexed,009F48E0,,,,Invokes a tab selection for the review panel,""
campaign UI commands (the CampaignUI global),SabotageArmy,009F4910,,,,"In: Character (agent), target character (general)",""
campaign UI commands (the CampaignUI global),SaveCampaign,009F4A20,,,,"In: Full path to place to save game, bool: Confirm overwrite. Out: true if overwrite request is requested and needed.  false, save success if overwrite not requested or not needed",""
campaign UI commands (the CampaignUI global),ScreenSize,009F4B90,,,,Retrieve the current width and height of the screen,""
campaign UI commands (the CampaignUI global),ScrollCamera,009F4C00,,,,"scroll the camera along a spline. ScrollCamera(seconds_it_takes_to_complete, list_of_coodinates...)",""
campaign UI commands (the CampaignUI global),ScupperToggleShip,009F5270,,,,Scuppers or Unscuppers the ship,""
campaign UI commands (the CampaignUI global),SelectAndZoomToCharacter,009F5300,,,,"In: The horizontal focus position, EG. -1 for right centred and +1 for left centred. Address of a character to select",""
campaign UI commands (the CampaignUI global),SelectAndZoomToNextRegion,009F5440,,,,,""
campaign UI commands (the CampaignUI global),SelectAndZoomToPreviousRegion,009F55C0,,,,,""
campaign UI commands (the CampaignUI global),SelectAndZoomToRegion,009F5740,,,,In: Address of a region to select (actually selects settlement),""
campaign UI commands (the CampaignUI global),SelectAndZoomToSlot,009F5870,,,,"In: The horizontal focus position, EG. -1 for right centred and +1 for left centred. Key of a region. Key of a slot to select",""
campaign UI commands (the CampaignUI global),SetAutomanageConstruction,009F5B00,,,,Switches on/off the automanagement of the construction for a specified theatre,""
campaign UI commands (the CampaignUI global),SetAutomanageTaxes,009F5C30,,,,Switches on/off the automanagement of the taxes for a specified theatre,""
campaign UI commands (the CampaignUI global),SetCameraTarget,009F5D60,,,,"Move the camera to the look at the specified theatre/map position.  Takes either the name of the theatre, or x, y position, + optional positioning factor (-1 = right centred, +1 = left centered)",""
campaign UI commands (the CampaignUI global),SetCameraTargetInstant,009F5F00,,,,"Move the camera to the look at the specified theatre/map position instantly.  Takes either the name of the theatre, or x, y position, + optional positioning factor (-1 = right centred, +1 = left centered)",""
campaign UI commands (the CampaignUI global),SetCameraZoom,009F6070,,,,"Zoom the camera, takes a float, currently clamped at 1.2 - 0.675, see CAMPAIGN_CAMERA_MAXIMUM_TILT_ANGLE and CAMPAIGN_CAMERA_MINIMUM_TILT_ANGLE",""
campaign UI commands (the CampaignUI global),SetDropinFriendPref,009F60C0,,,,In: true/false to set whether the player only wants friends in their dropin battles,""
campaign UI commands (the CampaignUI global),SetGovernorshipTaxRate,009F6100,,,,Sets the tax rate for a specified class and theatre,""
campaign UI commands (the CampaignUI global),SetMyUnitName,009F6280,,,,,""
campaign UI commands (the CampaignUI global),SetRegionTaxed,009F6370,,,,Sets the region to be taxed (or not),""
campaign UI commands (the CampaignUI global),SetReinforcementsOrder,009F6420,,,,Sets the reinforcement order for a combatant character,""
campaign UI commands (the CampaignUI global),SetSuccessor,009F6930,,,,,""
campaign UI commands (the CampaignUI global),SettlementsRegion,009F6A20,,,,"In: Settlement pointer, Out: Region pointer",""
campaign UI commands (the CampaignUI global),ShouldShowLabelBottomRow,009F6A70,,,,"In: Settlement pointer, Out: Selected settlement, mouse over settlement",""
campaign UI commands (the CampaignUI global),ShowBuildingInfoOnDblClick,009F6B80,,,,Dbl click response to clicking on a campaign slot,""
campaign UI commands (the CampaignUI global),ShowExchangeScreenForDockedNavy,009F6CC0,,,,In: Pointer to commander of either the docked navy or the port garrisoned army,""
campaign UI commands (the CampaignUI global),ShowVoiceChat,009F6D70,,,,Returns whether voice chat can be displayed,""
campaign UI commands (the CampaignUI global),SideWithAlly,009F6DB0,,,,In: Faction key of ally to side with,""
campaign UI commands (the CampaignUI global),SlotKeyFromAddress,009F6E90,,,,,""
campaign UI commands (the CampaignUI global),SplitFromForce,009F6F10,,,,"Takes a table of unit pointers and a table of character pointers and splits them from their current force, placing them at the map position that the cursor is over",""
campaign UI commands (the CampaignUI global),SpyingDataLevelCharacter,009F7840,,,,Returns the spying data level for this character,""
campaign UI commands (the CampaignUI global),SpyingDataLevelUnit,009F7910,,,,Returns the spying data level for this unit,""
campaign UI commands (the CampaignUI global),StateGiftValues,009F79B0,,,,Out: A table of 3 values representing the various values for state gifts,""
campaign UI commands (the CampaignUI global),SteamFriendsList,009F7B50,,,,In: Bool - show clan members Out: List of details about appropriate friends listed on Steam,""
campaign UI commands (the CampaignUI global),StopCamera,009F7D50,,,,Stop a scrolling camera.,""
campaign UI commands (the CampaignUI global),StopMovieInComponent,009F7D70,,,,In: Component movie is playing in,""
campaign UI commands (the CampaignUI global),SwapMinisters,009F7DB0,,,,In: Character pointers for minister A & minister B.  Ministers will have their posts swapped,""
campaign UI commands (the CampaignUI global),TakePrizeShips,009F7E60,,,,Moves captured ships into the navy,""
campaign UI commands (the CampaignUI global),TechEffects,009F8010,,,,Fills in a table with a table list for each effects class,""
campaign UI commands (the CampaignUI global),TechnologyPlayerDetails,009F9590,,,,Fills in a technology details table for the players faction,""
campaign UI commands (the CampaignUI global),TechnologyResearchingDetails,009F9600,,,,Fills in a technology details table for the players faction,""
campaign UI commands (the CampaignUI global),TechnologyStealingDetails,009F9660,,,,,""
campaign UI commands (the CampaignUI global),TheatreList,009F96C0,,,,Initialise a table with a list of all theatres available in the game,""
campaign UI commands (the CampaignUI global),TheatreMapDimensions,009F9760,,,,"Returns the world offset, width & height of the specified theatre map (x, y, w, h)",""
campaign UI commands (the CampaignUI global),TheatreMapPaths,009F9870,,,,"In: Theatre id, Out: Table containing paths to map, overlay and radar images",""
campaign UI commands (the CampaignUI global),Time,009F9B80,,,,Returns the current models time in seconds,""
campaign UI commands (the CampaignUI global),TimeSinceTick,009F9BC0,,,,Returns the time passed since the last communication with the other player,""
campaign UI commands (the CampaignUI global),ToggleFlagDisplay,009F9C10,,,,Toggles the flag display on the campaign map,""
campaign UI commands (the CampaignUI global),ToggleLabels,009F9CA0,,,,Toggles that labels under settlements on/off,""
campaign UI commands (the CampaignUI global),ToggleMoveSpeed,009F9CE0,,,,Toggles the action speed on the campaign map,""
campaign UI commands (the CampaignUI global),ToggleReplenishUnit,009F9D60,,,,Toggles the replenish or repair command for the specified unit,""
campaign UI commands (the CampaignUI global),ToggleSFX,009F9E90,,,,Toggles the flag display on the campaign map,""
campaign UI commands (the CampaignUI global),TradeInfo,009F9F00,,,,Gathers the trade info for the players faction,""
campaign UI commands (the CampaignUI global),TriggerAdviceForPanel,009FA030,,,,In: Name of panel,""
campaign UI commands (the CampaignUI global),TriggerBuildingCardSelectedEvent,009FA0D0,,,,In: key of the building selected,""
campaign UI commands (the CampaignUI global),TriggerBuildingInfoPanelOpenEvent,009FA160,,,,In: ,""
campaign UI commands (the CampaignUI global),TriggerCharacterInfoPanelOpenedEvent,009FA220,,,,In: Pointer to character,""
campaign UI commands (the CampaignUI global),TriggerMessageDropEvent,009FA280,,,,Plays the sound that occurs when a message hits the bottom of the msg stack,""
campaign UI commands (the CampaignUI global),TriggerMessageOpenedEvent,009FA310,,,,In: Message id,""
campaign UI commands (the CampaignUI global),TriggerPanelClosedEvent,009FA570,,,,In: Name of panel,""
campaign UI commands (the CampaignUI global),TriggerPanelOpenEvent,009FA640,,,,In: Name of panel,""
campaign UI commands (the CampaignUI global),TriggerTechnologyInfoPanelOpenEvent,009FA720,,,,In: ,""
campaign UI commands (the CampaignUI global),TriggerTooltipAdvice,009FA7E0,,,,In: Component that the tooltip currently represents,""
campaign UI commands (the CampaignUI global),TriggerUnitSelectedEvent,009FA880,,,,In: Pointer to unit selected,""
campaign UI commands (the CampaignUI global),TurnsToCompleteResearchingTechnology,009FA8E0,,,,Number of turns a character is going to take to finish researching a technology,""
campaign UI commands (the CampaignUI global),TurnsToResearch,009FA9D0,,,,Returns that how many turns necessary to research the technology,""
campaign UI commands (the CampaignUI global),UILocalisationString,00479520,,,,Retrieve a string from the ui.loc file,""
campaign UI commands (the CampaignUI global),UnitPointer,009E17C0,,,,,""
campaign UI commands (the CampaignUI global),UnitScaleFactor,009FAB10,,,,"In: (Opt) current scale factor, Out: float value representing current unit scale, index into scale factors list : 0-3",""
campaign UI commands (the CampaignUI global),UnitSelectionChanged,009FABA0,,,,In: List of selected unit.  Notify the UI that the unit selection has changed so the selection context can be updated,""
campaign UI commands (the CampaignUI global),UnitTransporting,009FAD50,,,,,""
campaign UI commands (the CampaignUI global),UniversityResearching,009FAE40,,,,Fills in a technology record table,""
campaign UI commands (the CampaignUI global),UpdateRadarView,009FAE60,,,,In: Table of update details,""
campaign UI commands (the CampaignUI global),UpgradeFort,009FAE80,,,,,""
campaign UI commands (the CampaignUI global),Valid,009FAEC0,,,,Is the UI open,""
campaign UI commands (the CampaignUI global),ValidAsassinationTargetsInResidence,009FAEF0,,,,,""
campaign UI commands (the CampaignUI global),ValidAssassinationTargets,009FAF40,,,,,""
campaign UI commands (the CampaignUI global),ValidDuelTargetsInResidence,009FAFC0,,,,,""
campaign UI commands (the CampaignUI global),ValidSabotageArmyTarget,009FB010,,,,,""
campaign UI commands (the CampaignUI global),ValidSabotageTarget,009FB060,,,,,""
campaign UI commands (the CampaignUI global),WindowsTime,009FB0B0,,,,Returns the current windows time in seconds,""
campaign UI commands (the CampaignUI global),ZoomToAdviceLocation,009FB100,,,,Dismisses the current advice on the c++ side,""
campaign UI commands (the CampaignUI global),ZoomToCapital,009FB110,,,,Move the camera to your capital,""
campaign UI commands (the CampaignUI global),ZoomToCharacter,009FB210,,,,In: Address of a character to select,""
campaign UI commands (the CampaignUI global),ZoomToRegion,009FB330,,,,In: Address of a region to zoom to (without selecting it),""
campaign UI commands (the CampaignUI global),ZoomToUnit,009FB430,,,,In: Address of a unit to select,""
campaign UI commands (the CampaignUI global),pending_auto_show_messages,009FB560,,,,Return if any auto shown messages are queued,""
campaign UI commands (the CampaignUI global),shown_message,009FB5D0,,,,Return if any message boxes currently displayed,""
